,Komentar
202,"['hitam', 'atas', 'putih', 'langsung', 'proses']"
203,"['sayang', 'anak', 'serah', 'saja', 'polisi', 'biar', 'didik']"
204,"['manusia', 'hewan', 'sih', 'hati', 'sekali']"
205,"['manusia', 'anjing', 'cari', 'uang', 'begitu', 'kamu', 'kerja', 'saja', 'saya', 'nyebokin', 'saya', 'nanti', 'saya', 'gaji', 'kamu']"
206,"['maklum', 'anak', 'didik', 'mirip', 'begitu', 'akhlak']"
207,"['anjing', 'anak', 'tahu', 'ibu', 'nang']"
208,"['oi', 'babi', 'saya', 'bunuh', 'kamu', 'sumpah']"
209,"['he', 'sampah', 'kamu', 'sudah', 'saya', 'maafin', 'bohong', 'goblok']"
210,"['anjing', 'kamu', 'baku', 'hantam', 'ayo']"
211,"['bangkit', 'bang', 'lemah', 'ajar', 'uji', 'kamu', 'bang']"
212,"['patah', 'semangat', 'kakak', 'sukses']"
213,"['semangat', 'ferdian', 'tidak usah', 'dengerin', 'orang', 'hujat', 'manusia', 'luput', 'salah']"
214,"['sumpah', 'respect', 'sekali']"
215,"['turut', 'pribadi', 'tulus', 'maaf']"
216,"['kasih', 'bidadari', 'mau', 'boneka', 'santet']"
217,"['hilang', 'respect', 'saya', 'jane', 'sudah', 'setia', 'sangat', 'kamu', 'kamu', 'main', 'cewek', 'pas', 'sudah', 'dari', 'penjara', 'lol']"
218,"['hapus', 'saja', 'ini', 'poto', 'tidak', 'tahu', 'malu', 'sangat', 'kamu', 'bang']"
219,"['inti', 'tidak suka', 'anjing', 'listy', 'ngrusak', 'suasana']"
220,"['foto', 'anjing', 'kontol']"
221,"['kasihan', 'sekali', 'jane', 'sudah', 'nunggu', 'penjara', 'eh', 'tahu', 'sakit', 'sih']"
222,"['cewk', 'selingkuhin', 'ngotak']"
223,"['ingat', 'potong', 'hubung', 'kalau', 'sudah', 'gin', 'sembeleh', 'saja', 'orang', 'sudah', 'lanjur', 'kecewa']"
224,"['konten', 'putus', 'foto', 'tabi', 'jessica', 'tidak', 'hapus']"
225,"['makan', 'bikin', 'ama', 'jes', 'tetapi', 'ngehianatin', 'gila', 'sih']"
226,"['parah', 'kamu', 'bang', 'nama', 'kamu', 'sudah', 'rusak', 'karena', 'narkoba', 'tambah', 'saja', 'terus']"
227,"['anjing', 'erick']"
228,"['muka', 'pas', 'sok', 'sok', 'an', 'sama', 'lonte', 'kamu', 'anjing']"
229,"['kamu', 'anjing', 'anjing']"
230,"['babi', 'jangan', 'megang', 'tuh', 'anjing', 'harga', 'daripada', 'kamu']"
231,"['santai', 'saja', 'bang', 'tanggepin', 'btw', 'saya', 'suka', 'gaya', 'kamu']"
232,"['narkoboy', 'kontol', 'main', 'cewek', 'sakit', 'saja', 'kamu', 'anjing', 'mati', 'saja', 'kamu', 'bodoh']"
233,"['tetap', 'penjara', 'saja', 'anjing', 'nyusahin', 'kamu']"
234,"['cewek', 'cakap', 'setia', 'disiasia', 'sahabat']"
235,"['loh', 'aku', 'liat', 'anjing']"
236,"['anjing', 'guys', 'saya', 'liat', 'babi', 'hitam']"
237,"['mantan', 'anjing', 'eh', 'balik', 'anjing', 'mantan']"
238,"['bikin', 'skandal', 'ingin', 'tenar']"
239,"['anjir', 'liat', 'babi', 'megang', 'anjing']"
240,"['foto', 'babi', 'peluk', 'anjing', 'milik', 'bidadari']"
241,"['babi', 'pantes', 'nyentuh', 'anjing', 'bidadari', 'kotor']"
242,"['anjing', 'foto']"
243,"['potret', 'seorjing', 'pegang', 'anjing']"
244,"['heh', 'sudah', 'kenapa', 'hate', 'lelah', 'saya', 'baca']"
245,"['ganteng', 'anjing', 'eh', 'eh', 'kamu', 'pantes', 'anjing', 'anjing', 'setia', 'pantesnya', 'sih', 'babi', 'haha']"
246,"['kalau', 'lomba', 'sama', 'sama', 'babi', 'babi', 'nomor']"
247,"['sih', 'anjing', 'foto', 'sih', 'anjing']"
248,"['kakak', 'jessica', 'tunggu', 'setia', 'sama', 'ke', 'loh', 'pas', 'ada', 'kemarin', 'ke', 'ngehargain', 'lebih', 'pilih', 'sono']"
249,"['erick', 'manusia', 'babi', 'anak', 'lonte']"
250,"['harga', 'hati', 'wanita', 'sudah', 'tulus', 'tani', 'kamu']"
251,"['bagus', 'sih', 'erick', 'mutusin', 'jessica', 'karena', 'erick', 'laku', 'nya', 'coba', 'liat', 'jessica']"
252,"['anjing', 'hebat', 'pakai', 'kacamata']"
253,"['sudah', 'nasi', 'sudah', 'jadi', 'bubur', 'bentuk', 'seperti']"
254,"['kira', 'hadir', 'bangga']"
255,"['anjing', 'tato', 'benar', 'anjing']"
256,"['dasar', 'orang', 'tua', 'tidak ada', 'akhlakngajarin', 'anak', 'benar']"
257,"['erik', 'sih', 'jelasin', 'saya', 'update', 'maaf']"
258,"['eh', 'anjing', 'ci', 'jessica', 'saya', 'lempar', 'kamu']"
259,"['guys', 'dari', 'pada', 'comment', 'mending', 'unfollow', 'sama', 'unsubscribe', 'saja']"
260,"['babi', 'main', 'ma', 'anjing']"
261,"['kasih', 'bidadari', 'pilih', 'babi']"
262,"['postingan', 'juga', 'hujat', 'gila', 'netizen']"
263,"['kali', 'lihat', 'anjing', 'babi', 'baik']"
264,"['kasih', 'bidadari', 'pilih', 'setan']"
265,"['saya', 'benci', 'ama', 'kamu', 'bro', 'tetapi', 'saja', 'tingkah', 'kamu', 'lenceng']"
266,"['sikap', 'mu', 'najis', 'ludah', 'anjing']"
267,"['anjir', 'sudah', 'poto', 'post', 'komen']"
268,"['kesini', 'hanya', 'mau', 'liat', 'komen', 'saja']"
269,"['buset', 'hate', 'comment', 'sampai', 'postingan']"
270,"['foto', 'upload', 'maret', 'comment', 'jam', 'jam', 'jam']"
271,"['pantes', 'utang', 'bayar', 'lonte']"
272,"['tutup', 'botol', 'muka', 'kamu', 'seperti', 'kontol']"
273,"['astaga', 'pagi', 'bikin', 'bahak', 'ama', 'komenan', 'netizen', 'bicara', 'suka', 'benar']"
